time	iter	Acc	celoss	featloss	l2sp
Sep  3 13:02:4	14399	88.15	14.96	59.22	267.76
Sep  3 13:03:3	14499	88.07	15.24	59.24	268.36
Sep  3 13:04:2	14599	88.02	15.38	59.11	268.98
Sep  3 13:05:1	14699	88.15	15.21	59.09	269.57
Sep  3 13:05:5	14799	88.3	15.28	58.91	270.14
Sep  3 13:06:4	14899	88.25	14.54	59.29	270.72
Sep  3 13:07:3	14999	88.77	14.66	59.36	271.27
Sep  3 13:08:2	15099	88.36	14.76	59.07	271.85
Sep  3 13:09:0	15199	88.1	15.18	59.34	272.4
Sep  3 13:09:5	15299	88.77	14.4	60.11	272.96
Sep  3 13:10:4	15399	89.37	14.14	59.66	273.52
Sep  3 13:11:3	15499	88.59	14.66	59.54	274.08
Sep  3 13:12:2	15599	88.17	14.84	60.12	274.63
Sep  3 13:13:0	15699	88.3	14.89	60.55	275.17
Sep  3 13:13:5	15799	89.74	13.89	60.34	275.73
Sep  3 13:14:4	15899	88.89	14.48	60.05	276.28
Sep  3 13:15:2	15999	88.81	14.31	60.21	276.82
Sep  3 13:16:1	16099	90.09	13.22	60.24	277.35
Sep  3 13:17:0	16199	88.82	14.63	60.21	277.89
Sep  3 13:17:5	16299	88.82	14.29	60.38	278.46
Sep  3 13:18:3	16399	89.07	13.89	61.16	279.0
Sep  3 13:19:2	16499	89.21	13.88	60.29	279.53
Sep  3 13:20:1	16599	89.84	13.38	60.97	280.07
Sep  3 13:21:0	16699	89.72	13.7	61.11	280.59
Sep  3 13:21:5	16799	88.89	14.21	60.76	281.13
Sep  3 13:22:3	16899	88.76	14.15	60.56	281.63
Sep  3 13:23:2	16999	89.11	13.93	60.9	282.15
Sep  3 13:24:0	17099	89.67	13.15	60.99	282.66
Sep  3 13:24:5	17199	88.87	14.25	60.52	283.19
Sep  3 13:25:4	17299	89.09	13.82	61.74	283.71
Sep  3 13:26:3	17399	90.01	13.07	61.07	284.23
Sep  3 13:27:2	17499	89.99	13.08	62.22	284.75
Sep  3 13:28:0	17599	88.89	13.98	60.86	285.24
Sep  3 13:28:5	17699	90.19	13.05	61.24	285.75
Sep  3 13:29:4	17799	89.27	13.52	62.44	286.26
